User ID,Gender,Age,EstimatedSalary,Purchased
15624510,Male,19,18000,0
15810944,Female,31,21000,0
15668575,Female,25,43000,0
15603246,Male,27,55000,0
15804002,Male,19,70000,0
15728773,Male,28,58000,0
15598044,Female,29,84000,0
15694829,Male,32,150000,1
15600575,Female,23,31000,0
15727311,Female,35,65000,0
15570769,Female,24,80000,0
15606274,Male,26,52000,0
15746139,Male,27,80000,0
15704987,Male,31,18000,0
15628972,Female,19,80000,0
15697686,Male,29,80000,0
15733883,Male,49,24000,1
15617482,Female,45,26000,1
15704583,Male,48,26000,1
15621083,Male,48,27000,1
15649487,Male,47,25000,1
15736760,Female,46,41000,1
15714658,Male,47,41000,1
15599081,Male,45,22000,1
15705113,Female,43,26000,1
15631159,Male,46,29000,1
15792818,Female,48,28000,1
15633531,Female,47,30000,1
15744529,Male,29,41000,0
15669656,Male,30,19000,0
15581198,Female,34,71000,0
15729054,Female,29,130000,1
15573452,Female,21,18000,0
15776733,Male,28,41000,0
15724858,Male,27,90000,0
15713144,Male,35,27000,0
15690188,Female,31,28000,0
15689425,Female,30,44000,0
15671766,Female,26,70000,0
15782806,Male,27,31000,0
15764419,Male,27,17000,0
15591915,Female,33,51000,0
15772798,Male,38,103000,0
15792008,Male,33,15000,0
15715541,Female,28,84000,0
15639277,Female,23,20000,0
15798850,Male,25,72000,0
15776348,Male,27,54000,0
15727696,Female,38,135000,1
15793813,Female,35,83000,0
15694395,Male,21,32000,0
15764195,Female,19,44000,0
15744919,Female,29,83000,0
15671655,Female,34,25000,0
15654901,Male,26,52000,0
15649136,Female,24,50000,0
15775562,Female,24,48000,0
15807481,Male,28,79000,0
15642885,Female,22,19000,0
15789109,Male,33,113000,0
15814004,Male,27,20000,0
15673619,Female,28,85000,0
15595135,Female,23,64000,0
15583681,Female,31,120000,1
15605000,Male,57,83000,0
15718071,Male,25,58000,0
15679760,Female,23,19000,0
15654574,Female,27,81000,0
15577178,Male,26,63000,0
15595324,Female,34,64000,0
15756932,Male,27,80000,0
15726358,Male,24,27000,0
15595228,Female,20,23000,0
15782530,Female,33,110000,0
15592877,Female,31,18000,0
15651983,Female,32,112000,1
15746737,Male,18,52000,0
15774179,Male,23,27000,0
15667265,Female,26,85000,0
15655123,Female,24,17000,0
15595917,Male,33,80000,0
15668385,Female,32,42000,0
15709476,Male,26,41000,0
15711218,Male,36,83000,0
15798659,Female,30,62000,0
15663939,Female,30,113000,1
15694946,Male,24,55000,0
15631912,Female,29,82000,0
15768816,Male,26,81000,0
15682268,Female,34,50000,0
15684801,Male,22,81000,0
15636428,Male,37,111000,0
15809823,Male,26,15000,0
15699284,Female,29,28000,0
15786993,Female,29,80000,0
15709441,Male,35,44000,0
15710257,Female,34,25000,0
15582492,Female,28,120000,1
15575694,Male,38,72000,0
15756820,Male,27,37000,0
15766289,Male,29,88000,0
15593014,Male,28,59000,0
15584545,Female,33,86000,0
15675949,Female,37,144000,1
15672091,Male,19,21000,0
15801658,Female,25,72000,0
15706185,Female,26,35000,0
15789863,Male,27,89000,0
15720943,Male,26,86000,0
15697997,Female,38,80000,0
15665416,Female,39,71000,0
15660200,Female,37,71000,0
15619653,Male,38,61000,0
15773447,Male,38,56000,0
15739160,Male,42,82000,0
15689237,Male,40,58000,0
15679297,Female,38,73000,0
15591433,Male,36,52000,0
15642725,Male,40,56000,0
15701962,Female,42,59000,0
15811613,Male,36,73000,0
15741049,Male,37,70000,0
15724423,Female,40,74000,0
15574305,Female,35,53000,0
15678168,Female,43,51000,0
15697020,Male,39,60000,0
15610801,Male,42,64000,0
15745232,Male,24,32000,0
15722758,Female,30,17000,0
15792102,Male,26,81000,0
15675185,Male,31,56000,0
15801247,Male,33,31000,0
15725660,Female,30,8200,0
15638963,Male,21,61000,0
15800061,Female,29,53000,0
15578006,Female,27,63000,0
15668504,Male,28,80000,0
15687491,Male,31,104000,1
15610403,Male,28,55000,0
15741094,Male,17,25000,0
15807909,Male,19,85000,0
15666141,Female,18,68000,0
15617134,Male,35,59000,0
15783029,Male,30,89000,0
15622833,Female,34,25000,0
15746422,Female,24,89000,0
15750839,Female,27,96000,1
15749130,Female,41,30000,0
15779862,Male,29,61000,0
15767871,Male,20,74000,0
15679651,Female,26,15000,0
15576219,Male,41,45000,0
15699247,Male,31,76000,0
15619087,Female,36,50000,0
15605327,Male,40,47000,0
15610140,Female,31,15000,0
15791174,Male,46,59000,0
15602373,Male,29,75000,0
15762605,Male,26,30000,0
15598840,Female,32,135000,1
15744279,Male,32,100000,1
15670619,Male,25,90000,0
15599533,Female,37,33000,0
15757837,Male,35,38000,0
15697574,Female,33,69000,0
15578738,Female,18,86000,0
15762228,Female,22,55000,0
15614827,Female,35,71000,0
15789815,Male,29,148000,1
15579781,Female,29,47000,0
15587013,Male,21,88000,0
15570932,Male,34,115000,0
15794661,Female,26,118000,0
15581654,Female,34,43000,0
15644296,Female,34,72000,0
15614420,Female,23,28000,0
15609653,Male,33,45000,0
15594577,Male,24,22000,0
15584114,Female,24,23000,0
15673367,Female,32,33000,0
15685576,Male,25,16000,0
15774727,Female,36,70000,0
15694288,Female,38,112000,1
15603319,Male,33,43000,0
15759066,Female,33,60000,0
15814816,Male,32,61000,0
15724402,Female,26,80000,0
15571059,Female,33,41000,0
15674206,Male,35,71000,0
15715160,Male,25,32000,0
15730448,Male,27,84000,0
15662067,Male,19,26000,0
15779581,Male,29,43000,0
15662901,Female,19,70000,0
15689751,Male,28,84000,0
15667742,Male,35,43000,0
15738448,Female,36,75000,0
15680243,Male,20,36000,0
15745083,Male,24,80000,0
15708228,Male,35,26000,0
15628523,Female,35,39000,0
15708196,Female,45,72000,0
15735549,Male,37,130000,1
15809347,Female,41,71000,0
15660866,Female,58,101000,1
15766609,Female,47,47000,0
15654230,Female,55,130000,1
15794566,Female,52,114000,0
15800890,Female,40,142000,1
15697424,Female,46,22000,0
15724536,Female,48,96000,1
15735878,Male,52,150000,1
15707596,Female,59,42000,0
15657163,Male,35,58000,0
15622478,Male,47,43000,0
15779529,Female,60,108000,1
15636023,Male,49,65000,0
15582066,Male,40,78000,0
15666675,Female,46,96000,0
15732987,Male,59,143000,1
15789432,Female,41,80000,0
15663161,Male,35,91000,1
15694879,Male,37,144000,1
15593715,Male,60,102000,1
15575002,Female,35,60000,0
15622171,Male,37,53000,0
15795224,Female,36,126000,1
15685346,Male,56,133000,1
15691808,Female,40,72000,0
15721007,Female,42,80000,1
15794253,Female,35,147000,1
15694453,Male,39,42000,0
15813113,Male,40,107000,1
